,inn__location_code,Акцизы__всего,Водный_налог,Единый_налог_на_вмененный_доход_для_отдельных_видов__деятельности,Единый_сельскохозяйственный_налог,Задолженность_и_перерасчеты_по_ОТМЕНЕННЫМ_НАЛОГАМ__и_сборам_и_иным_обязательным_платежам___кроме_ЕСН__страх__Взносов_,Земельный_налог,НЕНАЛОГОВЫЕ_ДОХОДЫ__администрируемые_налоговыми_органами,Налог__взимаемый_в_связи_с__применением_упрощенной__системы_налогообложения,Налог_на_добавленную_стоимость,Налог_на_добычу_полезных_ископаемых,Налог_на_доходы_физических_лиц,Налог_на_имущество_организаций,Налог_на_прибыль,Сборы_за_пользование_объектами_животного_мира__и_за_пользование_объектами_ВБР,Страховые_взносы_на_обязательное_медицинское_страхование_работающего_населения__зачисляемые_в_бюджет_Федерального_фонда_обязательного_медицинского_страхования,Страховые_взносы_на_обязательное_социальное_страхование_на_случай_временной_нетрудоспособности_и_в_связи_с_материнством,Страховые_и_другие_взносы_на_обязательное_пенсионное_страхование__зачисляемые_в_Пенсионный_фонд_Российской_Федерации,Торговый_сбор,Транспортный_налог
32,33.0,1543120913.45,4290563.52,282306355.9599999,7900650.91,383576.82000000007,335489236.7200002,33779.85,1316944272.22,6477527476.529997,43895141.4,0.0,328262326.26,2196150425.770001,453356.29,1088861952.8499973,283366532.91999876,5472479325.620001,2566054.0,76990402.25000001
33,34.0,61285681.0,1225849.6600000001,247848709.32000014,72244667.18999998,206384.74000000002,213948435.37000003,1104800.63,1769763225.4700015,8820092242.060009,84313903.26,16094.0,442143596.3200001,3050474622.0299993,477272.82,1512003922.5899985,415277509.60000044,6943431543.539991,60000.0,121588510.51999998
34,35.0,1478060112.76,1402542.79,238947464.61999992,6504303.4799999995,210515.0,120458915.61000004,523182.28,1130064605.0799992,4142900621.4399943,9198057.510000002,34478.5,349898063.2599999,1330371753.6599996,1070394.6,798539324.3399984,283177961.97999984,4065029027.0399885,90000.0,88769582.38999996
35,36.0,459071675.24,3386979.32,458332437.05999994,61361422.280000016,1191346.85,531600998.29999995,8662.15,2104990434.2499971,9717266838.210003,47956337.02000001,0.0,922243924.8199998,3722943660.2799983,405415.0,1745733658.7600062,556959067.6599989,8294267401.290062,754050.0,197074821.33999988
36,37.0,384282367.19,2593816.6999999997,198015556.95999998,5344692.36,1244750.4600000002,163810380.66999996,1457.93,1055690800.98,3007857902.940004,8921622.759999998,23548.0,191182276.3,1343289414.859999,117154.0,570742510.6199988,171406689.55000004,3052179318.1200004,1487992.12,44326519.71000001
37,38.0,243468395.1,5556001.470000001,517608913.4400001,4721817.68,22652.019999999997,449277454.4999998,4092907.91,2811726811.9800043,10710346236.160011,277770671.64,16934.0,505179329.42999995,4257463075.420005,4978487.7700000005,1724333102.9199967,549684079.7599981,8230417701.09,120000.0,212347487.33000004
38,39.0,706452042.75,1490530.4500000002,322275307.9399999,101221357.4,203662.1,245937127.74,293092.6300000001,3296076921.1199956,7106984082.469999,112038525.4,0.0,422899625.18000007,1810621808.6499996,2061062.4900000002,914385100.3300059,493045942.96999824,4708471314.1000185,1308770.0,186932104.10000008
39,40.0,126006690.0,1328951.58,192612712.75999996,8353087.859999999,272331.74999999994,305716348.54999983,134690.7,1012552740.1700001,6483629001.020001,72366733.77,53453.0,620791622.7399998,2122242477.3,459765.0,1054986280.5799991,562894848.7799993,5157846468.749992,952174.3200000001,62744012.50999998
40,41.0,246940601.0,490172.37,137017901.54999995,546227190.9300001,141741.58,63497273.18999998,2089082.06,740511369.3499995,2151962543.5200005,29221070.759999998,0.0,135848533.37999997,898070087.95,188317565.19999996,544042304.1100007,202892240.12999988,2550023905.9599967,0.0,49350281.88000001
41,42.0,2857986385.93,2597273.99,402320357.55999994,17081702.810000002,128969.57999999999,200600280.49999994,1723113.5399999998,2233640340.579997,9048996646.140013,209204942.85,0.0,482027131.87000036,3398605956.5799985,162978.4,1524019009.170005,395807518.2399984,7505374918.269976,108040.0,111773956.34000002
42,43.0,6900785.75,2767691.8499999996,181781924.70999992,5189922.79,73.33000000000001,73122693.63,1207.22,1462065712.6699986,4224460180.999998,20484562.790000003,0.0,206990151.64,1648706420.9600005,1066812.4100000001,793540421.9900031,189570570.5499998,4219154038.1800013,120750.0,70744097.00000001
43,44.0,9606119.0,1095394.79,146354585.55999997,15822522.78,869185.5599999999,103629185.47999996,1258.24,718566942.72,1887786114.6100004,2756213.22,0.0,264987730.04,792118153.3700001,589142.83,392443327.2900006,97066705.5000001,1980092854.0000062,2392773.0,49898772.11000001
44,45.0,386100.0,593129.59,85624277.71999998,21422572.819999997,198349.89,41540917.61999999,208919.66,430256344.6900004,1704384869.9499998,2981776.5,217905.0,101347018.29000002,564354803.0099999,659894.39,323640496.6700004,169695419.66999975,1583648142.9800076,0.0,43701930.169999994
45,46.0,73577203.12,2139434.92,93051137.0,8616598.65,20881.559999999994,130812703.33999997,486.0,592157036.5400001,3655415118.2200036,14492495.18,2392.0,220639408.79,1009974540.4400005,420.0,588428618.6599993,170798904.70000035,2868450841.84,421000.0,61146736.70000001
46,47.0,1219484722.06,4060595.1,190697861.32999995,10441195.600000001,31540.08,696661016.6099998,71736.97,1123388876.7500012,9649623468.590002,113361389.42,14040.0,702760111.49,4394107661.650001,1378533.97,1581606135.1600037,432298091.1399997,7563431622.749994,318060.0,132567311.36999997
47,48.0,524029936.48,1397503.84,102647841.98,29814893.85,771394.9199999999,201376785.81000003,17317.79,642138240.7599996,3849829658.9299994,24231553.17,38592.34,228674108.6,1288482537.880001,0.0,706282592.1999987,364174379.37000155,3382322929.26001,97410.0,76081321.30999999
48,49.0,1121859.88,405440.0,78585207.11,26766601.55,642.43,14664607.79,5544511.51,270010794.48999983,1889963319.1199994,808083634.05,0.0,53951247.4,825383884.01,13093381.479999999,379832336.24999994,146906936.20000002,1813940037.0699983,0.0,33076571.190000005
49,50.0,67094992.72,24657831.950000007,1662303918.05,46413474.39,2859646.229999999,5615588198.529999,54847122.60999999,10077177664.90998,77862274806.33989,217186630.38000003,1894545.55,6492160978.440001,30674750240.280006,231049.0,10679599301.969933,3481196269.190011,48365034025.779305,133607688.98000002,664882082.1800008
50,51.0,12099977.19,195960.63,130409308.03999998,491206149.84000003,61807.37,21361042.549999997,58310.350000000006,878641325.0099994,2615407122.099999,6004220.15,0.0,128345371.19999997,1128681170.02,118659548.13000001,727006985.8800014,204373422.67999983,3518979400.540008,150000.0,26114110.660000004
51,52.0,2149561851.34,5070160.919999999,560118842.49,26418237.07,3139326.2999999993,530118960.59,289603.3599999999,3423116560.0000076,21102841926.57999,35913694.59,92896.0,1543221478.7600012,8435631644.320006,481241.17,3235472303.840009,1699805827.6999967,15521451956.72007,621823.0,239864386.6199999
52,53.0,263352702.51999998,376616.68,155052396.27000004,871669.04,15406.34,103055528.41000001,198789.58,481089806.3100003,2501899519.990001,13806118.520000001,0.0,155057503.70999998,833367586.9200001,184945.0,456465427.0700002,242581567.26000017,2328136102.4099994,121160.0,48557713.40000001
53,54.0,405778561.11,3777716.5300000007,764532359.7599994,25786600.439999998,3256402.1099999994,739941054.59,1253435.72,4572585844.100006,20180276328.489983,121341563.57,128305.21,1620735918.739999,9098858084.900005,1373769.73,3364049084.0399976,1750425672.1000042,15674835957.000023,10526084.31,189001795.59
54,55.0,102848444.25,853079.6199999999,204892271.82,36866094.03,372217.77999999997,190405742.44999993,2088620.92,1712324940.0199971,7145524883.1200075,4810653.08,0.0,275997550.44000006,2422428888.3999996,863704.03,1121098339.2799983,432470203.21000004,5512540774.999994,3216160.0,90413862.95999993
55,56.0,1012870943.4,4332091.79,142201707.63,44317500.72,437887.67999999993,246472309.12999997,1860139.09,1168883100.4699993,5575186682.950008,883911028.7800001,4386.0,348786782.23999983,1686392993.339998,785207.53,917999532.4899989,259827444.78000033,4507601831.229999,0.0,140914085.05000007
56,57.0,72576223.2,1819447.5099999998,80192233.23000002,11750720.79,187551.16,134574686.27999994,8658.57,483606726.7399999,2173132113.4400015,6090381.96,0.0,115092589.01999998,738305094.4200001,101505.0,422292139.33,166505360.93999994,2157449192.0100026,306000.0,43317413.399999976
57,58.0,120728920.22,3283836.16,117318109.59,10908569.0,183756.12,167474769.40999997,463310.42000000004,1049350748.6899997,4213989993.2899976,12037356.780000001,86027.0,312682971.1999999,1440596858.9599996,269840.0,729242442.7400016,202997036.42000005,3680513434.510001,60000.0,92006316.65999998
58,59.0,18177818.4,6422469.540000001,376750239.53000003,4348574.47,2070400.8500000006,447804075.38000023,346329.12,2190592968.810002,16797667546.859966,408857564.80999994,36145.0,588327478.87,5816262081.370011,111409.84999999999,2233174851.620013,605838672.0000029,10336601899.119913,501600.0,179170171.94999996
59,60.0,6692584.98,412740.37000000005,138478310.87,988727.53,121056.35,74584965.32,6240.990000000001,522317874.05000025,1772017438.5599995,11837169.23,0.0,206701938.90999988,602068381.7300006,1151282.6600000001,370500794.7999996,90463531.84000005,1928560790.680002,278380.0,58145351.17999998
60,61.0,183723167.37,2667944.3400000003,538817875.9400003,156693898.65000004,29371.990000000005,937507666.4399993,300466.28,3539764101.8300037,19365309813.219967,131167850.32,137958.0,810868950.2499999,7408021689.550009,678067.3400000001,2847946541.4599953,1487017902.920011,13404149022.469961,2295667.43,246455124.19000012
61,62.0,23892894.14,5032534.26,143112280.95,12061375.47,147058.23,261823366.17,187375.22,1074401923.810001,5157621652.64,29981896.07,6595.0,397656466.06,1770390932.980001,12300.0,846511467.5200005,247590802.99000028,4245642418.999998,1255500.0,84663506.09
62,63.0,515818961.43999994,2864059.14,655598367.4000002,49159575.690000005,2171739.0599999996,962008887.7499999,1160723.55,3069486541.4500003,18154961281.739983,84306384.14999999,156943.0,1672893973.3,7064287878.399991,802396.1500000001,2959759791.4499836,1570917002.7000003,13461116358.949978,2196241.0,290507771.43
63,64.0,304169256.65,1969617.1199999999,316377673.46999997,90778782.73,12437.55,138341474.47000003,5590458.88,1586219087.5499978,7844379050.030002,81728618.58,2690.0,379464475.2799999,3143501769.6400013,1196165.73,1321721506.2000008,410413806.0100009,6441203099.650025,154920.0,183080455.10999992
64,65.0,130613284.02,1516414.08,181295612.91999993,258679245.66,695.7,75044573.45000002,897018.79,1423834093.2800002,5729850029.38,77962900.6,0.0,278106256.14,1673081857.5900002,203565689.30000004,885696920.7300019,301052342.35000044,4246680176.490007,0.0,93505391.25000003
65,66.0,164489074.01,5303819.760000001,730716503.1500002,17868496.200000003,102314.34999999998,917075212.5699998,614687.5300000001,4869857328.190005,34684700597.920006,96658938.08999999,4940.0,2047290133.1900005,11923210142.900019,37827.85,4635792197.53,1264642845.9899929,21592571651.910175,1807237.27,220630334.00999996
66,67.0,91945200.68,3033918.21,155033690.9599999,1977113.28,480827.10000000003,117332943.1099999,34378.25,714058151.08,4200415334.4400024,15322895.0,3425.0,243450241.55000004,2069176550.4299994,2229993.62,677896782.0399995,202468574.94999927,3315151645.830007,1047100.0,63163307.45000001
67,68.0,501090389.4,3079412.26,121003054.02000001,22422575.11,1339211.82,186829578.83000007,85885.66,513646737.8399997,2343814538.9200006,8631281.05,0.0,222328324.03,828019208.2600003,12525.0,480776085.3400012,264536449.1699999,2341124342.6499977,125700.0,81347942.66999999
68,69.0,529205800.95000005,2669721.92,270399820.22,5813028.38,476869.20000000007,405993458.3899999,96729.97,1150008208.6999996,5243607933.989999,33321351.77,0.0,454153864.93999994,1702070943.9100008,892211.76,977979408.120002,269292747.62999976,4881038343.32,7811334.59,90982710.70000006
69,70.0,481244710.70000005,2415002.5500000003,210093374.52999985,925094.53,8914.400000000001,170127171.96999997,2098940.04,1073918222.2799997,4855429649.809999,8224573.489999999,0.0,263501554.96000004,1472191038.1799994,1791226.96,818219148.0700004,288333624.06000024,3852826460.4499955,62000.0,39565317.529999994
70,71.0,108006631.0,3896974.3299999996,191294330.97999996,23434512.02,207509.88,349836411.21,39829.79,1197188912.3100028,6783877671.039993,45409555.15,1690.0,555144478.1999998,2130462898.1700015,447540.0,1188876553.6700015,337299855.95999926,5777819919.019991,1886174.68,98069414.78
71,72.0,29407430.36,1246395.67,332281454.57999986,4513526.9399999995,356970.83999999997,358600823.95000005,1871054.0099999998,1623424148.389999,10890810288.120007,106213116.61,0.0,804534974.5799998,3515886511.290001,346405.04,1650079951.0000029,458005443.76,7668142899.100049,846034.0,186669731.26000002
72,73.0,25755272.93,1468839.0899999999,141820977.7,25155518.639999997,889119.14,168497045.04000005,1358380.77,913625499.5900012,4297642644.460001,15059248.21,0.0,285684346.8300001,1345610636.3200016,124702.0,683277399.4699999,372468001.0899998,3556941087.0399966,1818050.0,73108863.99000002
73,74.0,203982422.86,5523409.24,382108643.4299999,18722723.62,4640338.519999999,432015631.50999975,1006798.79,3196589515.5999994,18889359756.520004,132128633.71000001,36853.0,1132570622.47,7662708579.250009,627041.78,2597577187.230004,753657764.4999967,12624049502.110064,1627544.0,271495504.89000016
74,75.0,880216.0,1079156.75,110351750.96000001,980799.64,438221.24999999994,59892020.0,2103949.2300000004,663359492.49,1886514039.0399997,447494239.35,0.0,149024348.83,727406581.1699996,19844.0,382327934.9300001,119960334.10999997,1849975604.1600003,0.0,23720643.899999995
75,76.0,98726930.5,1285928.09,215757385.93000004,2726792.2,2733725.0900000003,253761313.50999996,410699.3,1203220566.0799997,6728353254.269995,14440305.75,999.0,411257910.89999986,2446011079.479999,1187108.5699999998,1081894421.2500002,284255727.30000025,5266455900.079999,275000.0,97485289.21999997
76,77.0,520603105.39,5921020.39,509747065.29999995,4434855.91,4353402.889999999,5267143210.320012,13888500.27,39114060519.740166,297048683527.6007,271119980.33,564710.8500000001,29937054521.39002,128738111784.45981,2001914.75,40987222837.890205,12857166316.580357,165404705889.71094,3139680987.5700016,1700654454.4800007
77,78.0,341937847.48,583675.98,1374978891.1699994,5200409.0,220361.65000000002,2656689101.489998,2516119.27,12848089915.880033,100048861184.95004,40597437.29,3388.0,5698810910.650005,41417435458.26995,1655285.4500000002,15315407169.049833,4825855516.609999,66313462899.63039,32242031.560000002,657535378.2499994
78,79.0,168937.0,940576.66,31347280.05,1252456.0,0.0,4647519.069999999,449787.16000000003,125879036.71999995,317489290.3,18564587.01,0.0,8411049.64,89789973.7,790690.0,56644116.460000075,23770341.939999968,294947062.91999984,0.0,7858680.92
79,83.0,0.0,984.0,8188921.52,1140000.0,0.0,1171140.53,5352.0,29990717.08,200761158.92000002,1046484.61,0.0,5158482.95,22724290.939999998,807302.6,21851188.629999995,6607599.5200000005,105367676.68000005,0.0,1361467.8900000001
80,85.0,0.0,0.0,216012.0,320250.4,0.0,3434.0,0.0,12159.0,0.0,0.0,0.0,0.0,0.0,2038.0,588237.03,220373.77999999997,2478948.79,0.0,154471.13
81,86.0,74431340.17,2783438.62,402482499.9200001,1006367.2,914332.5700000001,208455268.12000003,2631782.0,1720779242.1100016,17507248079.69002,338698444.97,708362.89,896603457.4700003,3974430163.5200005,1035833.93,2072374809.8300009,638055411.8000014,9736316787.700012,66280.0,302407802.90999997
82,87.0,2262174.0,0.0,15888791.15,0.0,4764.69,792531.0,15533.0,38160830.05,223723574.06,183953491.02999997,0.0,6844894.350000001,217886378.32,32190.0,62125164.6,24899061.5,295421824.41999996,0.0,1820065.54
83,89.0,289570.0,58876.21,112464009.88000001,594504.25,960288.0,22435546.349999998,126563.61,548556676.2700005,3913680957.680001,224618219.25,0.0,119684940.96999994,943617271.1899997,553069.6000000001,608307445.1399995,191271840.09000018,2803851805.259995,0.0,85882362.78999996
84,91.0,1813751485.85,191837.0,137028551.91999996,17900530.1,0.0,134422676.27,568912.31,927963164.3299999,5243541258.139999,134716812.02,0.0,133871930.36000003,1905191561.2,1164690.09,711517980.3399965,501554317.09000176,3631821791.250005,0.0,33667403.37000001
85,92.0,34717533.2,19022.0,30084601.650000002,1318845.0,0.0,86346392.67999999,357.22,356474009.6099999,1369085058.4599996,1576919.0,0.0,16645751.03,473355939.1600001,1028982.47,206185304.22000024,141621395.93000022,1058575783.8800007,2690260.0,7965436.219999999
